交易序號,信用卡ID,客戶ID,刷卡日期,刷卡產品產業分類,刷卡類型,刷卡金額,刷卡地點
8,6448,15195,12/1/10,14_旅遊,一般消費,5200,國內
9,6826,13687,12/1/10,12_量販超市,一般消費,250,國內
10,6826,13687,12/1/10,12_量販超市,一般消費,1316,國內
11,7896,179,12/1/10,10_藥妝,一般消費,218,國內
20,9387,16756,12/1/10,11_3C居家電信,一般消費,2610,國內
36,12989,3044,12/1/10,06_公用事業,一般消費,20,國內
40,13327,605,12/1/10,06_公用事業,一般消費,40,國內
41,13327,605,12/1/10,06_公用事業,一般消費,120,國內
43,14636,13687,12/1/10,16_無店舖,一般消費,5480,國內
48,17286,17586,12/1/10,07_百貨,一般消費,399,國內
52,1472,5963,12/2/10,13_交通(含加值),一般消費,110,國內
53,1563,4612,12/2/10,13_交通(含加值),一般消費,100,國內
54,6847,5287,12/2/10,09_餐飲,一般消費,8505,國內
56,8143,131,12/2/10,15_休閒文化,一般消費,946,國外
57,8143,131,12/2/10,03_保險,一般消費,1420,國內
59,10646,19639,12/2/10,12_量販超市,一般消費,500,國內
65,12077,6118,12/2/10,13_交通(含加值),一般消費,1670,國內
66,12193,10121,12/2/10,16_無店舖,一般消費,600,國內
72,13013,16697,12/2/10,12_量販超市,一般消費,19368,國內
77,14438,4819,12/2/10,13_交通(含加值),一般消費,929,國內
78,14636,13687,12/2/10,13_交通(含加值),一般消費,1000,國內
84,17286,17586,12/2/10,13_交通(含加值),一般消費,500,國內
86,18653,9051,12/2/10,13_交通(含加值),一般消費,98,國內
89,1563,4612,12/3/10,13_交通(含加值),一般消費,100,國內
91,6847,5287,12/3/10,09_餐飲,一般消費,6080,國內
101,9757,5286,12/3/10,13_交通(含加值),一般消費,610,國內
102,10646,19639,12/3/10,07_百貨,一般消費,176,國內
103,10646,19639,12/3/10,07_百貨,一般消費,410,國內
111,11518,5020,12/3/10,12_量販超市,一般消費,1200,國內
115,11774,8032,12/3/10,13_交通(含加值),一般消費,1252,國內
117,12193,10121,12/3/10,16_無店舖,一般消費,987,國內
119,12754,3405,12/3/10,13_交通(含加值),一般消費,800,國內
121,13172,14690,12/3/10,12_量販超市,一般消費,937,國內
123,13616,4263,12/3/10,07_百貨,一般消費,225,國內
127,14229,4210,12/3/10,12_量販超市,一般消費,48,國內
128,14229,4210,12/3/10,12_量販超市,一般消費,40205,國內
143,1431,5287,12/6/10,X2.中信錢加值,一般消費,500,國內
156,8088,15580,12/6/10,11_3C居家電信,一般消費,518,國內
173,10102,6256,12/6/10,12_量販超市,一般消費,2300,國內
174,10646,19639,12/6/10,11_3C居家電信,一般消費,802,國內
175,10740,17190,12/6/10,03_保險,一般消費,9087,國外
179,11130,19504,12/6/10,13_交通(含加值),一般消費,901,國內
181,11167,14466,12/6/10,12_量販超市,一般消費,223,國內
182,11167,14466,12/6/10,12_量販超市,一般消費,246,國內
183,11167,14466,12/6/10,12_量販超市,一般消費,2883,國內
186,11774,8032,12/6/10,13_交通(含加值),一般消費,1074,國內
188,11921,17157,12/6/10,13_交通(含加值),一般消費,588,國內
189,11921,17157,12/6/10,13_交通(含加值),一般消費,1400,國內
201,12989,3044,12/6/10,06_公用事業,一般消費,20,國內
202,12989,3044,12/6/10,06_公用事業,一般消費,20,國內
203,12989,3044,12/6/10,06_公用事業,一般消費,20,國內
204,12989,3044,12/6/10,06_公用事業,一般消費,40,國內
205,12989,3044,12/6/10,06_公用事業,一般消費,40,國內
206,12989,3044,12/6/10,06_公用事業,一般消費,40,國內
208,13327,605,12/6/10,06_公用事業,一般消費,15,國內
209,13327,605,12/6/10,06_公用事業,一般消費,20,國內
210,13327,605,12/6/10,06_公用事業,一般消費,20,國內
219,15130,5978,12/6/10,13_交通(含加值),一般消費,1100,國內
233,17681,7327,12/6/10,12_量販超市,一般消費,2,國內
234,17681,7327,12/6/10,12_量販超市,一般消費,2212,國內
241,1472,5963,12/7/10,13_交通(含加值),一般消費,107,國內
255,9338,10195,12/7/10,05_捐贈,一般消費,300,國內
256,9387,16756,12/7/10,16_無店舖,一般消費,80,國內
257,9387,16756,12/7/10,16_無店舖,一般消費,80,國內
258,9387,16756,12/7/10,16_無店舖,一般消費,80,國內
259,9387,16756,12/7/10,16_無店舖,一般消費,170,國內
260,9387,16756,12/7/10,16_無店舖,一般消費,180,國內
261,9387,16756,12/7/10,16_無店舖,一般消費,320,國內
262,9387,16756,12/7/10,16_無店舖,一般消費,3935,國內
264,10102,6256,12/7/10,06_公用事業,一般消費,301,國內
266,10646,19639,12/7/10,06_公用事業,一般消費,1097,國內
267,10740,17190,12/7/10,07_百貨,一般消費,299,國內
268,10740,17190,12/7/10,09_餐飲,一般消費,299,國內
280,12193,10121,12/7/10,03_保險,一般消費,176,國內
284,12989,3044,12/7/10,06_公用事業,一般消費,20,國內
285,12989,3044,12/7/10,06_公用事業,一般消費,40,國內
288,13327,605,12/7/10,06_公用事業,一般消費,40,國內
290,13579,13802,12/7/10,14_旅遊,一般消費,21500,國內
296,14630,5020,12/7/10,10_藥妝,一般消費,1360,國內
301,16097,8927,12/7/10,12_量販超市,一般消費,832,國內
316,6826,13687,12/8/10,13_交通(含加值),一般消費,1490,國內
317,6826,13687,12/8/10,12_量販超市,一般消費,3819,國內
318,6847,5287,12/8/10,09_餐飲,一般消費,4750,國內
322,9387,16756,12/8/10,10_藥妝,一般消費,99,國外
325,9556,17027,12/8/10,13_交通(含加值),一般消費,1000,國內
332,11167,14466,12/8/10,12_量販超市,一般消費,380,國內
333,11167,14466,12/8/10,11_3C居家電信,一般消費,5800,國內
337,12077,6118,12/8/10,11_3C居家電信,一般消費,8047,國內
343,12989,3044,12/8/10,06_公用事業,一般消費,10,國內
344,12989,3044,12/8/10,06_公用事業,一般消費,40,國內
347,13327,605,12/8/10,06_公用事業,一般消費,40,國內
348,13327,605,12/8/10,06_公用事業,一般消費,80,國內
349,13327,605,12/8/10,06_公用事業,一般消費,140,國內
358,14636,13687,12/8/10,13_交通(含加值),一般消費,1000,國內
359,14636,13687,12/8/10,13_交通(含加值),一般消費,1490,國內
370,6448,15195,12/9/10,09_餐飲,一般消費,803,國內
372,8143,131,12/9/10,13_交通(含加值),一般消費,1490,國內
380,12077,6118,12/9/10,13_交通(含加值),一般消費,1727,國內
384,12989,3044,12/9/10,06_公用事業,一般消費,30,國內
386,14229,4210,12/9/10,12_量販超市,一般消費,1032,國內
387,14229,4210,12/9/10,12_量販超市,一般消費,6952,國內
390,15130,5978,12/9/10,13_交通(含加值),一般消費,128,國內
397,18653,9051,12/9/10,13_交通(含加值),一般消費,100,國內
398,41,2027,12/10/10,06_公用事業,一般消費,15,國內
403,6826,13687,12/10/10,02_學費/教育,一般消費,3600,國內
407,8143,131,12/10/10,09_餐飲,一般消費,6888,國內
410,9691,9209,12/10/10,11_3C居家電信,一般消費,533,國內
413,10745,106,12/10/10,13_交通(含加值),一般消費,500,國內
415,11167,14466,12/10/10,12_量販超市,一般消費,663,國內
432,12956,14127,12/10/10,12_量販超市,一般消費,1069,國內
433,12956,14127,12/10/10,12_量販超市,一般消費,4025,國內
434,13513,9125,12/10/10,11_3C居家電信,一般消費,352,國內
438,14044,9125,12/10/10,13_交通(含加值),一般消費,500,國內
440,15180,920,12/10/10,13_交通(含加值),一般消費,2100,國內
441,15473,6161,12/10/10,09_餐飲,一般消費,520,國內
444,17495,13863,12/10/10,11_3C居家電信,一般消費,1477,國內
445,18174,1747,12/10/10,11_3C居家電信,一般消費,1009,國內
446,18345,10699,12/10/10,06_公用事業,一般消費,1917,國內
450,1563,4612,12/13/10,13_交通(含加值),一般消費,95,國內
454,6448,15195,12/13/10,15_休閒文化,一般消費,423,國內
455,7016,861,12/13/10,14_旅遊,一般消費,14058,國外
456,7816,4874,12/13/10,11_3C居家電信,一般消費,6979,國內
469,10646,19639,12/13/10,13_交通(含加值),一般消費,1284,國內
470,10740,17190,12/13/10,12_量販超市,一般消費,242,國內
472,10976,2955,12/13/10,13_交通(含加值),一般消費,1380,國內
474,11130,19504,12/13/10,09_餐飲,一般消費,108,國內
475,11130,19504,12/13/10,09_餐飲,一般消費,205,國內
476,11130,19504,12/13/10,07_百貨,一般消費,2792,國內
477,11167,14466,12/13/10,12_量販超市,一般消費,319,國內
488,11921,17157,12/13/10,13_交通(含加值),一般消費,1450,國內
489,12077,6118,12/13/10,13_交通(含加值),一般消費,2500,國內
490,12077,6118,12/13/10,10_藥妝,一般消費,5979,國內
496,12596,4493,12/13/10,13_交通(含加值),一般消費,752,國內
498,12754,3405,12/13/10,13_交通(含加值),一般消費,800,國內
499,12989,3044,12/13/10,06_公用事業,一般消費,10,國內
500,12989,3044,12/13/10,06_公用事業,一般消費,20,國內
501,12989,3044,12/13/10,06_公用事業,一般消費,20,國內
502,12989,3044,12/13/10,06_公用事業,一般消費,30,國內
503,12989,3044,12/13/10,06_公用事業,一般消費,40,國內
505,13013,16697,12/13/10,12_量販超市,一般消費,6772,國內
507,13172,14690,12/13/10,12_量販超市,一般消費,1554,國內
509,13320,4874,12/13/10,13_交通(含加值),一般消費,1120,國內
510,13327,605,12/13/10,06_公用事業,一般消費,10,國內
511,13327,605,12/13/10,06_公用事業,一般消費,20,國內
512,13327,605,12/13/10,06_公用事業,一般消費,80,國內
513,13327,605,12/13/10,06_公用事業,一般消費,120,國內
518,14229,4210,12/13/10,12_量販超市,一般消費,240,國內
539,17286,17586,12/13/10,09_餐飲,一般消費,450,國內
540,17286,17586,12/13/10,13_交通(含加值),一般消費,745,國內
541,17286,17586,12/13/10,07_百貨,一般消費,1250,國內
551,18653,9051,12/13/10,11_3C居家電信,一般消費,137,國內
555,1563,4612,12/14/10,13_交通(含加值),一般消費,100,國內
564,8905,89,12/14/10,13_交通(含加值),一般消費,1589,國內
567,9556,17027,12/14/10,14_旅遊,一般消費,70000,國內
568,10646,19639,12/14/10,13_交通(含加值),一般消費,1004,國內
573,11167,14466,12/14/10,12_量販超市,一般消費,367,國內
586,12989,3044,12/14/10,06_公用事業,一般消費,10,國內
587,12989,3044,12/14/10,06_公用事業,一般消費,30,國內
590,13327,605,12/14/10,06_公用事業,一般消費,80,國內
591,13327,605,12/14/10,06_公用事業,一般消費,120,國內
592,13579,13802,12/14/10,07_百貨,一般消費,1420,國內
614,17286,17586,12/14/10,07_百貨,一般消費,306,國內
615,17286,17586,12/14/10,07_百貨,一般消費,332,國內
618,18174,1747,12/14/10,03_保險,一般消費,1197,國內
626,6826,13687,12/15/10,12_量販超市,一般消費,1240,國內
627,7582,13546,12/15/10,13_交通(含加值),一般消費,183,國內
658,12989,3044,12/15/10,06_公用事業,一般消費,20,國內
659,13327,605,12/15/10,06_公用事業,一般消費,90,國內
666,14636,13687,12/15/10,13_交通(含加值),一般消費,700,國內
669,15180,920,12/15/10,13_交通(含加值),一般消費,2100,國內
678,18653,9051,12/15/10,11_3C居家電信,一般消費,117,國內
694,11167,14466,12/16/10,12_量販超市,一般消費,288,國內
702,13579,13802,12/16/10,16_無店舖,一般消費,490,國內
714,17286,17586,12/16/10,09_餐飲,一般消費,1098,國內
720,1472,5963,12/17/10,13_交通(含加值),一般消費,100,國內
722,6847,5287,12/17/10,09_餐飲,一般消費,8046,國內
728,9387,16756,12/17/10,14_旅遊,一般消費,27914,國內
732,11167,14466,12/17/10,03_保險,一般消費,35978,國內
735,12820,1896,12/17/10,08_精品,一般消費,259,國內
737,13013,16697,12/17/10,10_藥妝,一般消費,2560,國內
738,13013,16697,12/17/10,12_量販超市,一般消費,3641,國內
739,13174,9988,12/17/10,12_量販超市,一般消費,3261,國內
740,13616,4263,12/17/10,07_百貨,一般消費,75,國內
748,41,2027,12/20/10,12_量販超市,一般消費,4610,國內
749,41,2027,12/20/10,12_量販超市,一般消費,9779,國內
750,905,6475,12/20/10,09_餐飲,一般消費,240,國內
757,1431,5287,12/20/10,X2.中信錢加值,一般消費,500,國內
759,6826,13687,12/20/10,10_藥妝,一般消費,430,國內
762,7819,5425,12/20/10,11_3C居家電信,一般消費,99,國內
763,8143,131,12/20/10,13_交通(含加值),一般消費,1387,國內
766,8485,773,12/20/10,12_量販超市,一般消費,6517,國內
770,9387,16756,12/20/10,14_旅遊,一般消費,32800,國內
776,11167,14466,12/20/10,12_量販超市,一般消費,564,國內
781,11774,8032,12/20/10,13_交通(含加值),一般消費,1260,國內
785,12193,10121,12/20/10,13_交通(含加值),一般消費,160,國內
789,12797,19483,12/20/10,10_藥妝,一般消費,326,國內
790,12797,19483,12/20/10,10_藥妝,一般消費,595,國內
796,12956,14127,12/20/10,12_量販超市,一般消費,2737,國內
797,12956,14127,12/20/10,12_量販超市,一般消費,6212,國內
798,12989,3044,12/20/10,06_公用事業,一般消費,10,國內
799,12989,3044,12/20/10,06_公用事業,一般消費,10,國內
800,12989,3044,12/20/10,06_公用事業,一般消費,15,國內
801,12989,3044,12/20/10,06_公用事業,一般消費,20,國內
802,12989,3044,12/20/10,06_公用事業,一般消費,20,國內
803,12989,3044,12/20/10,06_公用事業,一般消費,20,國內
804,12989,3044,12/20/10,06_公用事業,一般消費,30,國內
808,13327,605,12/20/10,06_公用事業,一般消費,20,國內
809,13327,605,12/20/10,06_公用事業,一般消費,20,國內
816,14229,4210,12/20/10,12_量販超市,一般消費,1822,國內
817,14229,4210,12/20/10,12_量販超市,一般消費,2103,國內
818,14229,4210,12/20/10,12_量販超市,一般消費,2607,國內
820,14636,13687,12/20/10,10_藥妝,一般消費,324,國內
824,15130,5978,12/20/10,13_交通(含加值),一般消費,105,國內
825,15180,920,12/20/10,13_交通(含加值),一般消費,2394,國內
833,16097,8927,12/20/10,12_量販超市,一般消費,2939,國內
834,16097,8927,12/20/10,12_量販超市,一般消費,3326,國內
839,17681,7327,12/20/10,12_量販超市,一般消費,15,國內
840,17681,7327,12/20/10,12_量販超市,一般消費,4654,國內
846,1563,4612,12/21/10,13_交通(含加值),一般消費,97,國內
849,6826,13687,12/21/10,12_量販超市,一般消費,2869,國內
850,7582,13546,12/21/10,03_保險,一般消費,540,國內
854,8808,261,12/21/10,16_無店舖,一般消費,700,國內
855,8808,261,12/21/10,16_無店舖,一般消費,4980,國內
860,10205,13546,12/21/10,12_量販超市,一般消費,2034,國內
861,10205,13546,12/21/10,12_量販超市,一般消費,2266,國內
863,10976,2955,12/21/10,13_交通(含加值),一般消費,1412,國內
