信用卡ID,客戶ID,信用卡開卡日,信用卡到期日,信用額度,卡等
41,2027,5/19/06,8/31/15,500000,金卡
814,7437,1/14/02,1/31/16,200000,普卡
905,6475,5/7/02,5/31/16,50000,普卡
1142,18841,7/23/01,7/31/15,250000,金卡
1411,14127,10/3/05,6/30/16,270000,白金卡
1431,5287,1/7/10,1/31/15,290000,白金卡
1472,5963,7/24/09,7/31/15,50000,白金卡
1563,4612,8/5/10,8/31/16,50000,白金卡
1707,4612,8/5/10,8/31/17,50000,白金卡
1710,5963,7/24/09,2/28/17,50000,白金卡
1774,13303,10/16/89,10/31/15,80000,普卡
1893,3359,6/22/94,6/30/02,195000,普卡
6061,10154,10/2/12,10/31/20,660000,鼎極卡
6074,15195,10/23/12,10/31/20,200000,鼎極卡
6090,5286,4/25/11,4/30/19,400000,鼎極卡
6126,8831,7/14/11,1/31/16,250000,御璽卡
6448,15195,6/25/10,6/30/16,200000,御璽卡
6465,6143,10/12/12,10/31/17,100000,御璽卡
6488,15580,10/24/11,10/31/17,200000,御璽卡
6577,4874,10/14/11,10/31/16,265000,御璽卡
6583,6143,10/24/11,10/31/17,240000,御璽卡
6610,13546,10/21/11,10/31/17,310000,御璽卡
6619,19859,11/25/10,11/30/16,240000,御璽卡
6651,1958,10/26/11,10/31/17,240000,御璽卡
6702,10154,10/7/11,10/31/16,660000,御璽卡
6735,9988,9/20/11,9/30/16,200000,御璽卡
6826,13687,7/30/10,7/31/16,270000,御璽卡
6831,8454,10/24/11,10/31/17,600000,御璽卡
6847,5287,1/7/10,1/31/15,290000,御璽卡
6863,5425,10/13/11,10/31/16,250000,御璽卡
7016,861,5/18/10,5/31/16,420000,御璽卡
7051,16697,7/5/11,7/31/16,240000,御璽卡
7054,867,7/15/11,5/31/16,210000,御璽卡
7264,15649,10/26/11,10/31/17,280000,御璽卡
7402,11368,11/26/01,11/30/04,18008,白金卡
7414,106,8/23/02,8/31/16,245000,白金卡
7441,1747,8/23/02,8/31/05,300000,白金卡
7530,10154,8/26/02,8/31/16,660000,白金卡
7582,13546,8/27/02,8/31/16,310000,白金卡
7727,13196,9/4/02,9/30/13,220000,白金卡
