semester,,,,,credit,grade,,,,
103,1,219511,經濟學,必,3,65,195,106,8161.34,76.99377358
103,1,314061,初級會計學（一）,必,3,69,207,,,
103,1,1001001,操行,必,0,0,0,,,
103,1,32001691,大學英文（一）,群,2,76,152,,,
103,1,41144001,學習素養與網路科技應用,群,2,74,148,,,
103,1,50051001,服務學習課程－資管系系學會參與及實踐,必,,,,,,
103,1,300898051,寫作與口語訓練（一）,選,3,98,294,,,
103,1,306005011,計算機概論,必,3,80,240,,,
103,1,306014001,微積分,必,3,70.85,212.55,,,
103,1,308003001,民法概要,必,2,32.2,64.4,,,
103,1,701011001,離散數學,必,,,,,,
,,,,,,,0,,,
103,2,219512,經濟學,必,3,71,213,,,
103,2,318021,初級會計學（二）,必,3,43,129,,,
103,2,348051,管理學,必,3,89,267,,,
103,2,1001002,操行,必,0,87,0,,,
103,2,2325011,體育[男女合班]—排球中級,必,0,89,0,,,
103,2,31013101,國文－臺灣文學選讀,群,2,86,172,,,
103,2,32002691,大學英文（二）,群,2,82,164,,,
103,2,43002021,資訊科技與素養,群,2,76,152,,,
103,2,44072001,資訊素養與應用,群,2,92,184,,,
103,2,50025001,服務學習課程－資訊技術支援志工服務,必,0,,,,,
103,2,300897061,寫作與口語訓練（二）,選,3,97,291,,,
103,2,306046011,程式設計,必,3,70,210,,,
,,,,,,,0,,,
104,1,1001001,操行,必,0,85,0,,,
104,1,31014051,國文－中國思想名作選讀,群,2,78,156,,,
104,1,90001001,醫學基礎概論,群,2,76,152,,,
104,1,90035001,認識星空,群,2,77,154,,,
104,1,300885031,中級口語訓練,選,3,78,234,,,
104,1,306009011,系統分析與設計,必,3,79,237,,,
104,1,306013011,資料結構,必,3,86.8,260.4,,,
104,1,306047011,資訊管理,必,3,81,243,,,
104,1,701011001,離散數學,必,3,71,213,,,
,,,,,,,0,,,
104,2,604021,商事法,必,2,63,126,,,
104,2,1001002,操行,必,0,85,0,,,
104,2,2338001,體育[男女合班]—游泳中級,必,0,80,0,,,
104,2,42133011,社會學動動腦,群,3,86,258,,,
104,2,42154001,房地產正義的思辯-面對房地產的選擇與衝突,群,2,77,154,,,
104,2,50152001,服務學習課程－海外臺灣文化推廣計畫,必,0,,,,,
104,2,306007011,企業資料通訊,必,3,75,225,,,
104,2,306008011,資料庫管理,必,3,63,189,,,
104,2,306016011,資訊系統專案設計,必,3,95,285,,,
104,2,306048001,管理科學,必,3,63,189,,,
104,2,306968001,資料庫管理實習,選,0,,,,,
104,2,701011002,離散數學,必,3,57,171,,,
,,,,,,,0,,,
105,1,215011,貨幣銀行學,必,3,80,240,,,
105,1,321111,統計學,必,3,85,255,,,
105,1,356021,社會責任與倫理,必,1,92,92,,,
105,1,1001001,操行,必,0,85,0,,,
105,1,2301031,體育[男女合班]—網球初級,必,0,85,0,,,
105,1,41100001,生命價值與哲學思惟,群,3,83,249,,,
105,1,43030011,數學、邏輯與人生,群,3,99,297,,,
105,1,306016012,資訊系統專案設計,必,3,91,273,,,
105,1,306045011,產銷資訊系統,群,3,71.33,213.99,,,
